Distrikt Hotel,distrikt-hotel-new-york,http://www.yelp.com/biz/distrikt-hotel-new-york,73
The Mercer Hotel,the-mercer-hotel-new-york,http://www.yelp.com/biz/the-mercer-hotel-new-york,43
The Greenwich Hotel,the-greenwich-hotel-new-york,http://www.yelp.com/biz/the-greenwich-hotel-new-york,39
Sofitel New York,sofitel-new-york-new-york,http://www.yelp.com/biz/sofitel-new-york-new-york,116
Casablanca Hotel,casablanca-hotel-new-york-2,http://www.yelp.com/biz/casablanca-hotel-new-york-2,26
The French Quarters Guest Apartments,the-french-quarters-guest-apartments-new-york-2,http://www.yelp.com/biz/the-french-quarters-guest-apartments-new-york-2,32
The Pearl Hotel,the-pearl-hotel-new-york,http://www.yelp.com/biz/the-pearl-hotel-new-york,57
Hilton Garden Inn Times Square,hilton-garden-inn-times-square-new-york,http://www.yelp.com/biz/hilton-garden-inn-times-square-new-york,132
Ace Hotel New York,ace-hotel-new-york-new-york-2,http://www.yelp.com/biz/ace-hotel-new-york-new-york-2,437
Hilton Garden Inn New York/West 35th Street,hilton-garden-inn-new-york-west-35th-street-new-york-2,http://www.yelp.com/biz/hilton-garden-inn-new-york-west-35th-street-new-york-2,103
Hampton Inn Manhattan Times Square North,hampton-inn-manhattan-times-square-north-new-york,http://www.yelp.com/biz/hampton-inn-manhattan-times-square-north-new-york,78
Affinia Dumont Hotel,affinia-dumont-hotel-new-york,http://www.yelp.com/biz/affinia-dumont-hotel-new-york,112
W Hoboken,w-hoboken-hoboken,http://www.yelp.com/biz/w-hoboken-hoboken,120
The New York Palace Hotel,the-new-york-palace-hotel-new-york-2,http://www.yelp.com/biz/the-new-york-palace-hotel-new-york-2,152
Courtyard New York Manhattan/Midtown East,courtyard-new-york-manhattan-midtown-east-new-york,http://www.yelp.com/biz/courtyard-new-york-manhattan-midtown-east-new-york,55
Ink48 Hotel- a Kimpton Hotel,ink48-hotel-a-kimpton-hotel-new-york,http://www.yelp.com/biz/ink48-hotel-a-kimpton-hotel-new-york,229
Gild Hall- a Thompson Hotel,gild-hall-a-thompson-hotel-new-york-2,http://www.yelp.com/biz/gild-hall-a-thompson-hotel-new-york-2,104
Library Hotel,library-hotel-new-york,http://www.yelp.com/biz/library-hotel-new-york,70
Chelsea Pines Inn,chelsea-pines-inn-new-york,http://www.yelp.com/biz/chelsea-pines-inn-new-york,32
Tryp Hotel,tryp-hotel-new-york,http://www.yelp.com/biz/tryp-hotel-new-york,58
The POD 51 Hotel,the-pod-51-hotel-new-york-3,http://www.yelp.com/biz/the-pod-51-hotel-new-york-3,257
Hotel Mulberry,hotel-mulberry-new-york,http://www.yelp.com/biz/hotel-mulberry-new-york,29
The POD 39 Hotel,the-pod-39-hotel-new-york-3,http://www.yelp.com/biz/the-pod-39-hotel-new-york-3,99
